suggestion_id,PARSE-Ego4D ID,Query,Action,Description,n_raters,SENSIBLE_mean,SENSIBLE_std,CORRECT_mean,CORRECT_std,IMPLICIT_mean,IMPLICIT_std,VALUE_mean,VALUE_std,LIKELY_mean,LIKELY_std,split
1,000cd456-ff8d-499b-b0c1-4acead128a8b-56-0-200,What is this bottle?,Multimodal search,Identify the bottle,1,2.0,,2.0,,2.0,,,,,,train
2,000cd456-ff8d-499b-b0c1-4acead128a8b-56-0-200,What is this bottle? What is my cat's name and how old is it?,Memory,Identify the bottle and remind the user of the cat's name and information,1,2.0,,2.0,,2.0,,,,,,train
3,002ad105-bd9a-4858-953e-54e88dc7587e-11-0-200,Show me a recipe for a dish that uses the ingredients I have on hand,Assistant,Show me a recipe for a dish that uses the ingredients I have on hand,2,3.0,1.4142135623730951,1.5,0.7071067811865476,2.0,1.4142135623730951,,,,,val
4,002ad105-bd9a-4858-953e-54e88dc7587e-11-0-200,What ingredients do I have on hand?,Memory,Show me a list of the ingredients I have on hand,1,1.0,,2.0,,3.0,,,,,,train
5,002d2729-df71-438d-8396-5895b349e8fd-183-4-200,What's the next step?,Assistant,What should I do next with the dough?,1,4.0,,3.0,,3.0,,,,,,train
8,004a1802-c546-4dcc-86ba-bf1080077017-10-1-200,Read this magazine to me,Language,Read the magazine to me,1,5.0,,5.0,,2.0,,,,,,train
9,004a1802-c546-4dcc-86ba-bf1080077017-10-1-200,Summarize this article for me,Language,Summarize the article,1,5.0,,3.0,,4.0,,,,,,train
10,0066ab25-04ad-41b2-89ab-283d2bfa1c4b-116-0-200,How do I repair a bike tire?,Instructions,Show instructions on how to repair a bike tire,1,4.0,,4.0,,5.0,,,,,,train
11,0066ab25-04ad-41b2-89ab-283d2bfa1c4b-116-0-200,Remember what I did to this engine body,Memory,Create a memory of what I have done so far,6,4.0,1.5491933384829668,4.333333333333333,1.632993161855452,3.3333333333333335,1.632993161855452,,,,,test
12,0075dfd4-03b2-48c3-bde1-d7851bc8e367-66-0-200,Navigate me to my destination,Maps,Navigate to my destination,1,5.0,,5.0,,5.0,,,,,,train
13,0075dfd4-03b2-48c3-bde1-d7851bc8e367-66-0-200,Find a nearby restaurant that is open and has good reviews,Maps,Find a nearby restaurant,1,5.0,,5.0,,2.0,,,,,,train
14,007cb0df-4f4f-4810-b246-8ba6639f53e1-123-0-200,What are the steps for cleaning the wooden sticks?,Instructions,Remind me of the steps for cleaning the wooden sticks,1,4.0,,4.0,,4.0,,,,,,train
15,007cb0df-4f4f-4810-b246-8ba6639f53e1-123-0-200,Can you help me keep track of which sticks I have already cleaned?,Memory,Help me keep track of which sticks I have already cleaned and which ones still need to be cleaned,2,3.5,2.1213203435596424,3.0,2.8284271247461903,3.5,0.7071067811865476,,,,,val
16,0091e812-f56f-4bd9-ad65-019fc97c1ffe-28-0-200,Show me my shopping list,Assistant,Open the shopping list,6,2.8333333333333335,1.7224014243685084,2.8333333333333335,2.041241452319315,1.8333333333333333,1.6020819787597222,,,,,test
17,0091e812-f56f-4bd9-ad65-019fc97c1ffe-31-0-200,Play some music,Assistant,Open a music app and play a song,5,3.8,1.0954451150103321,4.4,0.8944271909999159,2.8,0.8366600265340756,,,,,test
18,00c450a5-49d0-4647-a45c-bf214cea169d-108-3-200,How do I open this spice all the way?,Instructions,How do I open this spice all the way?,1,1.0,,2.0,,2.0,,,,,,train
19,00c450a5-49d0-4647-a45c-bf214cea169d-108-3-200,What is this spice?,Multimodal search,What spice is this?,1,4.0,,4.0,,3.0,,,,,,train
22,00eab18b-912b-44ec-bca8-c76e94e9e260-6-0-200,How do I build this plane?,Instructions,Help me build the toy plane,1,5.0,,5.0,,3.0,,,,,,train
23,00eab18b-912b-44ec-bca8-c76e94e9e260-6-0-200,What does the finished plane look like?,Instructions,Show me a 3D model of the finished plane,1,1.0,,1.0,,1.0,,,,,,train
24,00faddcc-06e3-4105-94e0-f6b47b4b62de-104-0-200,Remember this,Memory,Remember what I have done so far,2,2.5,0.7071067811865476,2.0,1.4142135623730951,1.5,0.7071067811865476,,,,,val
25,00faddcc-06e3-4105-94e0-f6b47b4b62de-104-0-200,Show me how to make this,Instructions,Show me a tutorial on how to make this paper stock,2,3.5,2.1213203435596424,4.0,1.4142135623730951,4.0,1.4142135623730951,,,,,train
26,01111831-9107-43c4-bf0e-6b26e9b32a2b-183-0-200,What should I do with this towel?,Assistant,What should I do with this towel?,1,4.0,,5.0,,5.0,,,,,,train
27,01111831-9107-43c4-bf0e-6b26e9b32a2b-183-0-200,Remind me to put the towel in the dryer,Assistant,Remind me to put the towel in the dryer,2,3.5,2.1213203435596424,3.0,1.4142135623730951,4.5,0.7071067811865476,,,,,train
28,01111831-9107-43c4-bf0e-6b26e9b32a2b-87-1-200,Help me make the bed,Instructions,Help me make the bed,7,2.857142857142857,1.864454471471609,3.857142857142857,1.4638501094227998,2.142857142857143,1.4638501094227998,,,,,test
29,01111831-9107-43c4-bf0e-6b26e9b32a2b-87-1-200,Remind me to set an alarm for tomorrow morning,Assistant,Remind me to set an alarm,2,3.0,2.8284271247461903,3.0,2.8284271247461903,2.0,1.4142135623730951,,,,,train
30,01111831-9107-43c4-bf0e-6b26e9b32a2b-55-2-200,Open my email,Assistant,Open the email app,1,4.0,,4.0,,3.0,,,,,,train
31,01111831-9107-43c4-bf0e-6b26e9b32a2b-55-2-200,Send a message to John,Assistant,Send a message to John,1,5.0,,5.0,,3.0,,,,,,train
32,011ee98a-afc2-4088-b4d1-e0f7d84f3611-193-3-200,What time is it?,Assistant,What is the current time?,5,4.2,1.3038404810405297,3.0,1.8708286933869707,2.0,0.7071067811865476,,,,,test
33,011ee98a-afc2-4088-b4d1-e0f7d84f3611-97-4-200,Remember this,Memory,Remember what I am writing,1,2.0,,5.0,,3.0,,,,,,train
34,01236d91-23a2-49be-8f9f-d25cd3e126f6-33-0-200,How do I cut this hollow brick?,Instructions,Show me how to cut this hollow brick,1,5.0,,5.0,,4.0,,,,,,train
35,01236d91-23a2-49be-8f9f-d25cd3e126f6-33-0-200,Show me a video on how to cut this hollow brick,Instructions,Show me a video tutorial on how to cut this hollow brick,1,5.0,,5.0,,2.0,,,,,,train
36,01236d91-23a2-49be-8f9f-d25cd3e126f6-183-1-200,Remember the measurement of this brick,Memory,Remember the measurement of the hollow brick,1,5.0,,5.0,,5.0,,,,,,train
37,01236d91-23a2-49be-8f9f-d25cd3e126f6-183-1-200,Show me how to cut hollow bricks with a circular saw,Instructions,Show me a video tutorial on how to cut hollow bricks with a circular saw,1,4.0,,2.0,,2.0,,,,,,train
38,01236d91-23a2-49be-8f9f-d25cd3e126f6-131-2-200,Measure the brick for me,Assistant,Measure the brick,1,5.0,,5.0,,4.0,,,,,,train
39,01236d91-23a2-49be-8f9f-d25cd3e126f6-131-2-200,Measure the brick and remember the dimensions,Memory,Measure and remember the brick dimensions,2,4.5,0.7071067811865476,2.5,2.1213203435596424,4.5,0.7071067811865476,,,,,train
43,013a7ba7-f8e0-43c3-81f6-bece27b33a67-96-0-200,Remember this,Memory,Remember what I have done so far,1,2.0,,3.0,,3.0,,,,,,train
44,013a7ba7-f8e0-43c3-81f6-bece27b33a67-96-0-200,Show me how to sew the next part,Instructions,Show me a video tutorial on how to sew the next section of the embroidery,1,5.0,,5.0,,5.0,,,,,,train
45,014141a2-a5fc-432f-9cdd-85bd5724b53d-28-0-200,How do I build a cairn?,Instructions,Show me how to build a cairn,5,3.0,1.5811388300841898,3.6,1.6733200530681511,2.0,1.0,,,,,test
46,014141a2-a5fc-432f-9cdd-85bd5724b53d-28-0-200,Would you like help building the cairn?,Assistant,Offer to help build the cairn,1,3.0,,3.0,,3.0,,,,,,train
47,014995a6-77e7-48b2-98b6-a7422e44d03e-28-0-200,Show me my shopping list,Assistant,Open the shopping list,1,5.0,,5.0,,1.0,,,,,,train
